DateTime,Players,Flags,Twitch Viewers,pos_sent_count,neg_sent_count,neu_sent_count
2017-09-21,1731.0,,1222.0,,,
2017-09-22,1824.0,,78.0,,,
2017-09-23,2095.0,,90.0,,,
2017-09-24,2398.0,,151.0,,,
2017-09-25,1672.0,,152.0,,,
2017-09-26,1634.0,,57.0,,,
2017-09-27,1591.0,,98.0,,,
2017-09-28,1584.0,,95.0,,,
2017-09-29,1695.0,,52.0,,,
2017-09-30,1991.0,,106.0,,,
2017-10-01,2228.0,,179.0,,,
2017-10-02,1642.0,,88.0,,,
2017-10-03,1750.0,,86.0,,,
2017-10-04,1652.0,,105.0,,,
2017-10-05,1736.0,,221.0,,,
2017-10-06,1850.0,,221.0,,,
2017-10-07,2265.0,,88.0,,,
2017-10-08,2381.0,,176.0,,,
2017-10-09,1973.0,,86.0,,,
2017-10-10,1720.0,,2195.0,,,
2017-10-11,1770.0,,125.0,,,
2017-10-12,1746.0,,122.0,,,
2017-10-13,1822.0,,169.0,,,
2017-10-14,2142.0,,124.0,,,
2017-10-15,2243.0,,300.0,,,
2017-10-16,1720.0,,152.0,,,
2017-10-17,1672.0,,310.0,,,
2017-10-18,1580.0,,79.0,,,
2017-10-19,1846.0,,498.0,,,
2017-10-20,1890.0,,150.0,,,
2017-10-21,2194.0,,283.0,,,
2017-10-22,2335.0,,167.0,,,
2017-10-23,1725.0,,90.0,,,
2017-10-24,1679.0,,125.0,,,
2017-10-25,1610.0,,86.0,,,
2017-10-26,1583.0,,70.0,,,
2017-10-27,1899.0,,73.0,,,
2017-10-28,2154.0,,174.0,,,
2017-10-29,2443.0,,240.0,,,
2017-10-30,1946.0,,86.0,,,
2017-10-31,2087.0,,72.0,,,
2017-11-01,2078.0,,73.0,,,
2017-11-02,2124.0,,377.0,,,
2017-11-03,2060.0,,90.0,,,
2017-11-04,2372.0,,73.0,,,
2017-11-05,2528.0,,212.0,,,
2017-11-06,1803.0,,150.0,,,
2017-11-07,1746.0,,96.0,,,
2017-11-08,1644.0,,885.0,,,
2017-11-09,3919.0,,5945.0,,,
2017-11-10,8123.0,,1879.0,,,
2017-11-11,9403.0,,31426.0,,,
2017-11-12,8822.0,,23000.0,,,
2017-11-13,4642.0,,788.0,,,
2017-11-14,3866.0,,1650.0,,,
2017-11-15,3485.0,,2140.0,,,
2017-11-16,3264.0,,711.0,,,
2017-11-17,3263.0,,329.0,,,
2017-11-18,3562.0,,3531.0,,,
2017-11-19,3707.0,,9789.0,,,
2017-11-20,2918.0,,292.0,,,
2017-11-21,2685.0,,459.0,,,
2017-11-22,2625.0,,728.0,,,
2017-11-23,2806.0,,1016.0,,,
2017-11-24,3316.0,,654.0,,,
2017-11-25,3405.0,,608.0,,,
2017-11-26,3806.0,,554.0,,,
2017-11-27,2778.0,,118.0,,,
2017-11-28,2699.0,,33425.0,,,
2017-11-29,2442.0,,103.0,,,
2017-11-30,2496.0,,123.0,,,
2017-12-01,2571.0,,317.0,,,
2017-12-02,3201.0,,239.0,,,
2017-12-03,3089.0,,879.0,,,
2017-12-04,2358.0,,131.0,,,
2017-12-05,2230.0,,219.0,,,
2017-12-06,2186.0,,84.0,,,
2017-12-07,2308.0,,310.0,,,
2017-12-08,2363.0,,397.0,,,
2017-12-09,2849.0,,157.0,,,
2017-12-10,2735.0,,275.0,,,
2017-12-11,2113.0,,145.0,,,
2017-12-12,2043.0,,220.0,,,
2017-12-13,1963.0,,79.0,,,
2017-12-14,1995.0,,152.0,,,
2017-12-15,2057.0,,115.0,,,
2017-12-16,2510.0,,125.0,,,
2017-12-17,2585.0,,101.0,,,
2017-12-18,1899.0,,218.0,,,
2017-12-19,2171.0,,88.0,,,
2017-12-20,2012.0,,79.0,,,
2017-12-21,3246.0,,4889.0,,,
2017-12-22,3069.0,,2322.0,,,
2017-12-23,3034.0,,436.0,,,
2017-12-24,2406.0,,2604.0,,,
2017-12-25,2285.0,,76.0,,,
2017-12-26,2663.0,,83.0,,,
2017-12-27,2830.0,,115.0,,,
2017-12-28,3086.0,,157.0,,,
2017-12-29,3076.0,,219.0,,,
2017-12-30,3301.0,,1198.0,,,
2017-12-31,2583.0,,197.0,,,
2018-01-01,3305.0,,101.0,,,
2018-01-02,2992.0,,89.0,,,
2018-01-03,2895.0,,127.0,,,
2018-01-04,2951.0,,249.0,,,
